title,company,location,description,date,url,source,data_type
Transport and Logistics Officer,Switz Lanka (Pvt) Ltd,Colombo,"SAVE JOB We are a prominent player in the poultry industry, renowned as one of Sri Lanka's largest egg producers under the brand name 'Happy Hen.' Holding ISO 22000 and HACCP Certification, GMP,  we maintain the highest standards in our operations. About The Role: Are you a strategic thinker with a passion for Transport and Logistics? We're looking for a dynamic Transport and Logistics Officer to oversee and optimize our fleet operations, ensuring efficient transport and timely maintenance across our organization. Transport and Logistics Officer Requirements: An energetic individual between 30 to 50 years. A Diploma in Logistics, Motor mechanics or other relevant qualification. Minimum 3-5 years of experience in logistics operations, preferably in a supervisory role.  Strong leadership and team management skills. Excellent problem-solving, organizational, and communication abilities. Proficient in a transport/logistics management system and MS Office Suite. Strong knowledge of vehicle mechanics and fleet maintenance practices. Excellent leadership, communication, and organizational skills. Valid driver's license and relevant professional certifications (preferred). Responsibilities: Oversee the day-to-day management of the company owned and hired lorries. Ensure compliance with transport regulations, health & safety, and environmental policies. Develop and implement preventative maintenance schedules for vehicles. Manage vehicle inspections, repairs, and servicing to minimize downtime. Supervise a team of drivers, mechanics, and support staff, including scheduling and performance management. Monitor fuel consumption, costs, and route planning to ensure operational efficiency. Maintain accurate records of maintenance, repairs, and transport activities. Coordinate with external vendors and service providers as needed. Benefits: Competitive salary and performance-based incentives. Opportunities for career growth and development. Eligibility for a hospitalization cover after confirmation. We appreciate all applications, but only shortlisted candidates will be contacted. Thank you for your interest in joining our team. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS View Job Ad",2026-02-09,https://xpress.jobs/jobs/view/252320/transport-and-logistics-officer-switz-lanka-pvt-ltd,XpressJobs,Live
PHSRC/SLMC Registered Nurse,Austin House Aesthetic Centre (Pvt) Ltd .a,Colombo,"SAVE JOB PHSRC/SLMC Registered Nurse  Key Responsibilities Assist doctors in aesthetic treatments. Prepare treatment rooms, equipment, and products to ensure high standards of hygiene and safety. Provide pre-treatment and post-treatment care instructions to clients. Support the clinic team in delivering exceptional client experiences. Follow all protocols and maintain strict confidentiality. Requirements Registered Nurse with a valid nursing license. Excellent communication and patient-care skills. Detail-oriented, professional, and team player. Willingness to undergo training in aesthetic procedures. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS",2026-02-09,https://xpress.jobs/jobs/view/252536/phsrcslmc-registered-nurse--austin-house-aesthetic-centre-pvt-ltd,XpressJobs,Live
Head of AI Solutions,Dialog Axiata PLC,Colombo,"SAVE JOB Head of AI Solutions Job Purpose: The Head of AI Solutions is the CXO-1 accountable owner for translating business priorities into scalable, production-grade AI solutions that deliver measurable value. This role bridges business strategy and technology execution by owning the end-to-end lifecycle of AI solutions—prioritization, feasibility, solution architecture, build, deployment, adoption, and ongoing operations (L2/L3)—ensuring solutions are adopted by Business Units and continuously deliver outcomes (revenue uplift, cost reduction, experience improvement, EBITDA impact). As the Solutioning Front, this role leads early engagement with Business Owners, shapes the AI portfolio, and ensures downstream integration with IT systems and channels. The role also provides SME leadership for enterprise GenAI adoption (licensed/purchased tools and platforms), ensuring safe, consistent, and value-driven implementation across the organization. The Job: Establish and execute an operating model for AI solution delivery that drives speed-to-value, quality, scalability, and adoption across the organization. Own the AI Solutions Portfolio: intake, prioritization, roadmap, governance, delivery sequencing, and value tracking aligned to enterprise priorities. Act as the Solutioning Front: lead early solutioning and feasibility with Analytics Strategy and Business teams, shaping problem statements into executable solution designs. Accountable for end-to-end solution lifecycle: planning, architecture/design, build, testing, deployment, monitoring, and maintenance with L2/L3 support. Drive value realization: define KPIs and success metrics per solution, ensure instrumentation is in place, track benefits, and take corrective actions to secure outcomes. Lead and mentor multi-disciplinary teams across AI Model Development, AI DevOps/MLOps, and AI Application Development to deliver consistently high-quality outputs. Ensure AI solutions are engineered and operated to production standards (reliability, performance, security, cost efficiency, scalability, resilience). Own model operations and performance management: monitoring, drift detection, retraining triggers, release management, incident/problem management, and continuous improvement. Direct integration of models and AI applications with downstream IT systems, data platforms, and channels, partnering with Architecture/Engineering teams to ensure alignment and maintainability. Lead strong stakeholder management and delivery governance across key business domains (e.g., GBO, GSD, Enterprise, National Sales, Digital Adoption), ensuring readiness for adoption and operational ownership. Provide SME leadership for the GenAI pillar: support the organization on GenAI tools/platforms that are purchased/licensed, define implementation patterns, and ensure safe and value-led adoption. Ensure delivery of solutions that comply with required security, privacy, and governance standards, embedding responsible AI practices into delivery and operations. The Person: Degree in Engineering / IT / Computer Science / Data Science (or equivalent). Postgraduate qualification (MBA/MSc) is an advantage but not mandatory 10+ years relevant experience in AI/analytics, data, software, or digital product domains, with demonstrable leadership responsibility. Proven track record of delivering AI/ML solutions into production and running them at scale, including monitoring, lifecycle management, and operational support. Strong experience bridging business and technology: problem framing, translating requirements into solution designs, managing dependencies, and driving adoption/value realization. Solid understanding of modern AI delivery concepts: MLOps/CI-CD, model monitoring, APIs/microservices, data pipelines, cloud platforms, and integration patterns. Working knowledge of ML/NLP (and practical familiarity with GenAI/LLM application patterns) with the judgement to apply “right-tech/right-model” pragmatically. Strong stakeholder management skills, able to influence CXO/CXO-1 and BU leadership, drive cross-functional execution, and manage change. Strong delivery discipline: prioritization, structured problem-solving, execution governance, and operational rigor. Relevant professional certifications (cloud / data engineering / ML) and internal capability programs  are advantageous. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS",2026-02-09,https://xpress.jobs/jobs/view/251624/head-of-ai-solutions-dialog-axiata-plc,XpressJobs,Live
Executive - Human Resources,"Company Name Withheld 678 Foreign Job, Island Wide",,"SAVE JOB OVERSEAS CAREER OPPORTUNITY Executive - Human Resources REQUIREMENTS Bachelor’s degree in Management, Mathematics, Statistics, or any equivalent discipline Postgraduate or professional qualification preferred Minimum 3 years of proven HR experience at reputed organizations Excellent command of the English language and Presentable personality Advanced proficiency in MS Excel and HR systems WHAT WE OFFER USD 1,200 salary package (negotiable based on qualifications and experience) Fully furnished accommodation inclusive of utilities Annual home visits (2 return air tickets per year) Comprehensive medical & life insurance  Clear pathways for professional growth in competency driven culture Excellent multicultural working environment with team members from all continents of the world Our client encourages candidates from diverse backgrounds such as sports, arts or any social discipline. Only shortlisted candidates will be contacted and furnished with the company profile to proceed through a comprehensive selection process. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS",2026-02-09,https://xpress.jobs/jobs/view/253006/executive---human-resources-company-name-withheld-678,XpressJobs,Live
Manager Dealer Channel,Royal Ceramics Lanka PLC,Colombo,"SAVE JOB The leader in the Surface Coverings and Bathware industry in Sri Lanka and pacesetter in the international arena, Royal Ceramics Lanka PLC (Rocell) is now inviting ambitious individuals to join a world-renowned design democracy and be part of a global workforce. For decades we have combined timeless design with the functionality of everyday living, along with an uncompromising passion for perfection, quality and innovation. Join us today and together, let's reimagine the interior design landscape of the future. Manager Dealer Channel Key Responsibilities The candidate is to liaise with the dealer network, finding new avenues for new dealers and territory management. Must manage Debtors, Sales and Distribution to meet and exceed channel sales revenue, channel sales profitability. Analyze and control expenditures to conform to budgetary requirements. Ensure that channel partners have adequate support and ongoing training / education to effectively sell the company's brand and product line. Analyze sales statistics to formulate policy and assist channel partners in promoting sales.  Arrange loyalty programmes and promotional activities. Monitor and evaluate competitor activities. Develop / maintain legal agreements with channel partners in line with the company's channel partner programme. Requirements A Degree in Business, Marketing or a related field, with CIM Qualification as an added advantage.  Applicants must have at least 10 years of experience in FMCG or a similar capacity in creating and building a reseller channel. Understand what is required to successfully create and build a reseller channel. Strong negotiation skills. Strong communication and presentation skills, with the ability to address a wide variety of audiences.  Ability to work effectively with own team, as well as other teams in a Sales environment. Ability to develop relationships at multiple levels within channel organizations. Between 30-45 years of age. Attractive remuneration packages commensurate with the positions applied for are on offer. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS View Job Ad",2026-02-09,https://xpress.jobs/jobs/view/249464/manager-dealer-channel-royal-ceramics-lanka-plc,XpressJobs,Live
Cost Control Executive / Cost Control Officer (Male),Rasawimana Holdings Pvt Ltd,Colombo,"SAVE JOB Cost Control Executive / Cost Control Officer (Male) Industry: Industrial Catering We are looking for dynamic and result-oriented individuals to join our team in the Cost Control function. Available Positions Cost Control Executive Cost Control Officer Preferred Qualifications Degree or Diploma in Management, Finance, or Statistics Strong analytical and numerical skills Good knowledge of MS Excel and reporting Ability to work independently and meet deadlines Other Requirements Male candidates preferred Salary Range Cost Control Executive: LKR 60,000 – 80,000 Cost Control Officer: LKR 45,000 – 60,000 PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS",2026-02-09,https://xpress.jobs/jobs/view/252079/cost-control-executive-cost-control-officer-male-rasawimana-holdings-pvt-ltd,XpressJobs,Live
- Plant Lean Enterprise,MAS Holdings ( Pvt) Ltd Kegalle,,"SAVE JOB Intern - Plant Lean Enterprise  Based at Thulhiriya  The Activewear Value Stream delivers high-performance sportswear and athleisure solutions designed for technical functionality, durability and everyday versatility— serving sports, lifestyle and performance segments. With a strong focus on innovation, MAS is advancing wearable technology that tracks fitness and workout analytics while blending advanced sportswear with fashion and aesthetic appeal.  Operating across Sri Lanka, Jordan and Indonesia, and with development centres in Sri Lanka and Canada, Activewear serves a global customer base that includes Nike, lululemon, Patagonia, Ralph Lauren and Gymshark. The Activewear product range offers diverse solutions such as Knit, Fleece, Tees, Woven, Sweaters, Engineered Knit. As a unified platform, the Activewear Value Stream combines global scale, speed and technical expertise, positioning MAS as a trusted partner for innovative, performance and lifestyle apparel. Join MAS and embrace the opportunity to shape the future! We are on the lookout for a dynamic and an energetic individual to join the Lean Enterprise team as an Intern.  KEY RESPONSIBILITIES: Facilitate to implement Lean initiatives whilst keeping record of the performance measures to ensure a Lean culture is achieved  Conduct Work Study and Time Study methods, including Yamazumi to analyse factory performance, identify and solve production issues related to Work Study, and facilitate a smooth production process  Engage in Gemba Walks, speak with Team Members, Team Leaders, Group Leaders & process owners on a regular basis  Gather & monitor relevant data from respective Department Heads, prepare KPIs (Key Performance Indicators) periodically and share the Factory & Department KPI reports with the senior management  Develop Power BI dashboards for management decision‐making KEY QUALIFICATIONS & SKILLS  Degree in Mathematics and Statistics from a recognize university of institution.  Strong communication skills in English writing and speaking  Sound understanding of project management tools & practices  Knowledge in Power BI  PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS View Job Ad",2026-02-09,https://xpress.jobs/jobs/view/252072/intern---plant-lean-enterprise--mas-holdings-pvt-ltd,XpressJobs,Live
High School Teachers Mathematics - KSA - (7675),Selco Continental (Private) Limited Foreign Job,,"SAVE JOB High School Teachers Mathematics - KSA - (7675) We are seeking qualified and motivated High School Mathematics Teachers to join a reputable secondary school. The role involves delivering high-quality mathematics instruction, supporting student achievement, and maintaining strong academic standards in line with international secondary education curricula. This position offers excellent overseas teaching opportunities in the UAE, KSA, or Qatar. Plan and deliver engaging mathematics lessons aligned with the approved curriculum Teach secondary-level mathematics subjects, including algebra, geometry, calculus, and statistics as applicable Assess student performance through assignments, tests, and examinations Maintain accurate academic records and prepare progress reports Manage classroom behavior and promote a positive learning environment Provide academic support and guidance to students when required Collaborate with department heads and teaching staff on curriculum planning Communicate effectively with parents regarding student progress Participate in school activities, meetings, and professional development programs Follow school policies, safeguarding procedures, and educational standards Age - below 45 years. Post graduate degree in mathematics or related field. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS",2026-02-09,https://xpress.jobs/jobs/view/250925/high-school-teachers-mathematics---ksa---7675-selco-continental-private-limited,XpressJobs,Live
Call Recording Analyst I Work From Home,Bizycorp (Private) Ltd Work From Home,,"SAVE JOB Call Recording Analyst | Work from Home Call Recording Analyst is responsible for reviewing and analyzing recorded calls of assigned clients in the call tracking account to provide stats on inbound calls and monitoring interactions, providing insights, and delivering tips to enhance the potential new patient conversion rates. You will be required to understand the end goal and create plans or strategies to achieve the desired result. This may involve daily routine tasks as well as innovation and self-learning. Duties and Responsibilities Preparing Call review reports within given deadlines Maintaining standards and accuracy of outputs Support to enhance the assigned clients' new patient conversion rate Role Expectations Attention to Detail: Ensuring accurate and thorough review of inbound calls, including adherence to established guidelines and precise tagging in the call tracking app. Data Analysis Skills: Proficiency in analyzing call data, calculating conversion rates, and updating relevant statistics, graphs, and reports. Insight Generation: Ability to select and provide valuable insights on a set number of new patient calls, both booked and not booked, based on the analysis. Time Management: Efficiently managing time to review calls, update reports, and meet deadlines consistently. Problem-Solving Skills: Capability to identify trends, issues, or areas of improvement in call handling and suggest solutions or recommendations to enhance performance. Learning and Research: Continuously engage in self-research and learning to improve your knowledge and abilities necessary to run the product successfully Work Hours & Expectations Since BizyCorp serves US clients, the role requires flexibility within a specific time frame: Work Schedule Commitment: You will be required to cover 8 hours anytime between 7:00 AM and 7:00 PM (Sri Lanka Standard Time).  Note:  Working 8 hours a day is a must. (The schedule is to be decided based on the requirements of the role and the company policies) You must work additional hours based on requirements (if needed only.) This schedule may require adjusting your daily routine, so consider your comfort with late-night or early-morning work. Benefits BizyCorp offers a compelling package: Flexibility: Schedule your 8-hour workday within the specified time frame. Work-from-Home: Enjoy the convenience of remote work. EPF/ETF: Enrollment in Sri Lanka’s employee provident and trust funds. Legal Compliance: Adherence to the Sri Lankan Shop and Office Act. Salary: Starting at 70,000 LKR (including basic pay and allowances), with a potential increment after a 6-month probation. Additional Perks include: Paid leave, selected training/certification programs, and performance-based annual rewards. Global Exposure: Work with international clients and a diverse team of 250+ employees worldwide. We do not offer part-time roles, so we only apply if you are serious about committing your full-time commitment to our company. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS",2026-02-09,https://xpress.jobs/jobs/view/250520/call-recording-analyst-i-work-from-home-bizycorp-private-ltd,XpressJobs,Live
Inventory Forecasting Executive,Euro Motors Sri Lanka,Colombo,"Job Role  Euro Motors is looking for a detail-oriented and analytical Inventory Forecasting Executive to join our growing team. The ideal candidate will be responsible for forecasting inventory requirements, maintaining optimal stock levels, and supporting efficient supply chain operations. Requirements Degree or Diploma in Statistics, Managerial Economics, or a related field. Minimum 1 year of experience in inventory forecasting. Experience in order forecasting using statistical tools. Knowledge of inventory planning and stock control processes. Good analytical and problem-solving skills. Ability to work with data and prepare basic reports. Good computer literacy (MS Excel is essential). Ability to work independently and as part of a team. PLEASE CLICK THE APPLY BUTTON TO SEND YOUR CV VIA XPRESSJOBS View Job Ad APPLY FOR JOB SAVE JOB Unemployment in Sri Lanka is estimated to be over 390,816, Share this job and help another! Inventory Forecasting Executive Euro Motors Sri Lanka Colombo 5  days left Full Time Summary Minimum 1 year of experience in inventory forecasting. Please refer to the job advert for further information. Education Degree or Diploma Experience 1 year of experience Salary Range Any APPLY FOR JOB SAVE JOB Supply Chain / Logistics / Procurement  ( 208 ) Business Management  ( 1544 ) Euro Motors Sri Lanka 28  Job Posts Colombo 284, High Level Road,
Colombo 06,
Sri Lanka. With the purpose of providing economical, reliable & trustworthy solution to the Sri Lankan customers, Euro Motors(Pte) Limited is established as a proud member among the family of KDG Global Group of Companies. By feeling the customer needs, Euro motors initiated to launch dynamic & economical commercial vehicles range for the industry, as the initial step. After evaluating over 150 vehicle manufactures in the region, Anhui Jianghuai Automobile company was selected, not only due to the highest level of suitability of JAC products for the requirements of Sri Lankan customers but also succeeded in enjoying prime position among auto mobile manufacturing companies in the region . With the support of Anhui Jianghuai AutomobileCompany Euro Motors successfully launched JAC truck range to the local customers in 2004 as the Sole Agents for JAC commercial vehicles. 1 2 3 4 5 6 7",2026-02-09,https://xpress.jobs/jobs/view/250900/inventory-forecasting-executive-euro-motors-sri-lanka,XpressJobs,Live
